Time,PopSize,InTreatment
0.2500000000,399,0
0.5000000000,398,0
0.7500000000,397,0
1.0000000000,396,0
1.2500000000,396,0
1.5000000000,394,0
1.7500000000,394,0
2.0000000000,394,0
2.2500000000,395,0
2.5000000000,394,0
2.7500000000,395,0
3.0000000000,395,0
3.2500000000,395,0
3.5000000000,396,0
3.7500000000,398,0
4.0000000000,398,0
4.2500000000,399,0
4.5000000000,398,0
4.7500000000,396,0
5.0000000000,395,0
5.2500000000,394,0
5.5000000000,396,0
5.7500000000,399,0
6.0000000000,399,0
6.2500000000,402,0
6.5000000000,405,0
6.7500000000,406,0
7.0000000000,407,0
7.2500000000,409,0
7.5000000000,410,0
7.7500000000,414,0
8.0000000000,414,0
8.2500000000,414,0
8.5000000000,414,0
8.7500000000,414,0
9.0000000000,417,0
9.2500000000,418,0
9.5000000000,417,0
9.7500000000,420,0
10.0000000000,421,0
10.2500000000,421,0
10.5000000000,422,0
10.7500000000,421,0
11.0000000000,423,0
11.2500000000,423,0
11.5000000000,423,0
11.7500000000,428,0
12.0000000000,430,0
12.2500000000,430,0
12.5000000000,431,0
12.7500000000,433,0
13.0000000000,434,0
13.2500000000,436,0
13.5000000000,439,0
13.7500000000,436,0
14.0000000000,438,0
14.2500000000,437,0
14.5000000000,437,0
14.7500000000,438,0
15.0000000000,435,0
15.2500000000,440,0
15.5000000000,438,0
15.7500000000,436,0
16.0000000000,435,0
16.2500000000,437,0
16.5000000000,435,0
16.7500000000,436,0
17.0000000000,436,0
17.2500000000,436,0
17.5000000000,436,0
17.7500000000,437,0
18.0000000000,438,0
18.2500000000,443,0
18.5000000000,446,0
18.7500000000,445,0
19.0000000000,448,0
19.2500000000,450,0
19.5000000000,453,0
19.7500000000,453,0
20.0000000000,455,0
20.2500000000,456,0
20.5000000000,457,0
20.7500000000,458,0
21.0000000000,458,0
21.2500000000,458,0
21.5000000000,458,0
21.7500000000,460,0
22.0000000000,460,0
22.2500000000,459,0
22.5000000000,458,2
22.7500000000,457,3
23.0000000000,460,3
23.2500000000,459,3
23.5000000000,458,3
23.7500000000,458,4
24.0000000000,457,5
24.2500000000,463,6
24.5000000000,464,6
24.7500000000,465,8
25.0000000000,463,8
25.2500000000,463,9
25.5000000000,464,10
25.7500000000,465,10
26.0000000000,463,10
26.2500000000,464,11
26.5000000000,465,13
26.7500000000,468,13
27.0000000000,468,13
27.2500000000,469,13
27.5000000000,471,15
27.7500000000,470,17
28.0000000000,474,19
28.2500000000,474,20
28.5000000000,476,22
28.7500000000,477,23
29.0000000000,478,23
29.2500000000,476,24
29.5000000000,476,26
29.7500000000,475,27
30.0000000000,476,27
30.2500000000,480,30
30.5000000000,480,31
30.7500000000,480,33
31.0000000000,482,35
31.2500000000,480,35
31.5000000000,486,36
31.7500000000,489,37
32.0000000000,489,38
32.2500000000,490,38
32.5000000000,492,39
32.7500000000,495,40
33.0000000000,498,41
33.2500000000,498,41
33.5000000000,498,42
33.7500000000,497,42
34.0000000000,499,43
34.2500000000,500,44
34.5000000000,500,45
34.7500000000,499,45
35.0000000000,500,46
35.2500000000,500,45
35.5000000000,500,44
35.7500000000,500,45
36.0000000000,501,45
36.2500000000,500,45
36.5000000000,498,43
36.7500000000,499,43
37.0000000000,505,43
37.2500000000,505,42
37.5000000000,509,43
37.7500000000,510,43
38.0000000000,508,41
38.2500000000,506,40
38.5000000000,506,41
38.7500000000,506,40
39.0000000000,507,38
39.2500000000,506,38
39.5000000000,508,39
39.7500000000,511,39
40.0000000000,513,39
40.2500000000,513,39
40.5000000000,511,39
40.7500000000,509,37
41.0000000000,512,37
41.2500000000,513,36
41.5000000000,517,36
41.7500000000,517,36
42.0000000000,515,34
42.2500000000,514,34
42.5000000000,515,34
42.7500000000,516,33
43.0000000000,516,33
43.2500000000,516,32
43.5000000000,520,32
43.7500000000,517,30
44.0000000000,518,29
44.2500000000,518,29
44.5000000000,523,29
44.7500000000,523,29
45.0000000000,522,29
45.2500000000,525,29
45.5000000000,521,29
45.7500000000,520,29
46.0000000000,521,29
46.2500000000,522,28
46.5000000000,517,28
46.7500000000,518,28
47.0000000000,519,27
47.2500000000,521,27
47.5000000000,521,25
47.7500000000,514,23
48.0000000000,514,23
48.2500000000,515,23
48.5000000000,516,23
48.7500000000,518,22
49.0000000000,516,22
49.2500000000,520,22
49.5000000000,518,21
49.7500000000,516,20
50.0000000000,514,20
50.2500000000,517,20
50.5000000000,517,20
50.7500000000,517,20
51.0000000000,517,20
51.2500000000,516,19
51.5000000000,515,19
51.7500000000,512,19
52.0000000000,513,19
52.2500000000,515,19
52.5000000000,513,18
52.7500000000,511,17
53.0000000000,512,17
53.2500000000,513,16
53.5000000000,513,16
53.7500000000,512,14
54.0000000000,511,14
54.2500000000,514,14
54.5000000000,512,14
54.7500000000,512,14
55.0000000000,516,13
55.2500000000,515,12
55.5000000000,512,11
55.7500000000,517,11
56.0000000000,518,11
56.2500000000,518,11
56.5000000000,520,10
56.7500000000,519,10
57.0000000000,519,10
57.2500000000,521,10
57.5000000000,523,10
57.7500000000,524,10
58.0000000000,525,10
58.2500000000,527,10
58.5000000000,528,10
58.7500000000,527,9
59.0000000000,528,8
59.2500000000,534,8
59.5000000000,530,8
59.7500000000,531,7
60.0000000000,532,7
60.2500000000,532,7
60.5000000000,532,7
60.7500000000,534,7
61.0000000000,535,7
61.2500000000,535,7
61.5000000000,538,7
61.7500000000,539,7
62.0000000000,547,7
62.2500000000,549,7
62.5000000000,552,7
62.7500000000,554,7
63.0000000000,556,7
63.2500000000,557,7
63.5000000000,560,7
63.7500000000,559,7
64.0000000000,557,6
64.2500000000,563,6
64.5000000000,561,6
64.7500000000,559,6
65.0000000000,557,5
65.2500000000,559,5
65.5000000000,559,5
65.7500000000,558,4
66.0000000000,560,4
66.2500000000,560,4
66.5000000000,559,3
66.7500000000,560,3
67.0000000000,567,3
67.2500000000,568,3
67.5000000000,573,3
67.7500000000,576,3
68.0000000000,574,3
68.2500000000,578,3
68.5000000000,579,3
68.7500000000,578,3
69.0000000000,575,3
69.2500000000,574,3
69.5000000000,575,3
69.7500000000,574,2
70.0000000000,577,2
70.2500000000,574,1
70.5000000000,577,1
70.7500000000,578,1
71.0000000000,583,1
